股票代码,股票名称,交易所,板块
000001,平安银行,SZ,深市主板
000002,万 科Ａ,SZ,深市主板
000004,国华退,SZ,深市主板
000006,深振业Ａ,SZ,深市主板
000007,全新好,SZ,深市主板
000008,神州高铁,SZ,深市主板
000009,中国宝安,SZ,深市主板
000011,深物业A,SZ,深市主板
000012,南 玻Ａ,SZ,深市主板
000014,沙河股份,SZ,深市主板
000017,深中华A,SZ,深市主板
000019,深粮控股,SZ,深市主板
000020,深华发Ａ,SZ,深市主板
000021,深科技,SZ,深市主板
000025,特 力Ａ,SZ,深市主板
000026,飞亚达,SZ,深市主板
000027,深圳能源,SZ,深市主板
000028,国药一致,SZ,深市主板
000029,深深房Ａ,SZ,深市主板
000030,富奥股份,SZ,深市主板
000031,大悦城,SZ,深市主板
000032,深桑达Ａ,SZ,深市主板
000034,神州数码,SZ,深市主板
000035,中国天楹,SZ,深市主板
000036,华联控股,SZ,深市主板
000037,深南电A,SZ,深市主板
000039,中集集团,SZ,深市主板
000042,中洲控股,SZ,深市主板
000045,深纺织Ａ,SZ,深市主板
000048,京基智农,SZ,深市主板
000049,德赛电池,SZ,深市主板
000050,深天马Ａ,SZ,深市主板
000055,方大集团,SZ,深市主板
000058,深 赛 格,SZ,深市主板
000059,华锦股份,SZ,深市主板
000060,中金岭南,SZ,深市主板
000061,农 产 品,SZ,深市主板
000062,深圳华强,SZ,深市主板
000063,中兴通讯,SZ,深市主板
000065,北方国际,SZ,深市主板
000066,中国长城,SZ,深市主板
000068,华控赛格,SZ,深市主板
000069,华侨城Ａ,SZ,深市主板
000070,特发信息,SZ,深市主板
000088,盐 田 港,SZ,深市主板
000089,深圳机场,SZ,深市主板
000090,天健集团,SZ,深市主板
000096,广聚能源,SZ,深市主板
000099,中信海直,SZ,深市主板
000100,TCL科技,SZ,深市主板
000151,中成股份,SZ,深市主板
000153,丰原药业,SZ,深市主板
000155,川能动力,SZ,深市主板
000156,华数传媒,SZ,深市主板
000157,中联重科,SZ,深市主板
000158,常山北明,SZ,深市主板
000159,国际实业,SZ,深市主板
000166,申万宏源,SZ,深市主板
000301,东方盛虹,SZ,深市主板
000333,美的集团,SZ,深市主板
000338,潍柴动力,SZ,深市主板
000400,许继电气,SZ,深市主板
000401,金隅冀东,SZ,深市主板
000402,金 融 街,SZ,深市主板
000403,派林生物,SZ,深市主板
000404,长虹华意,SZ,深市主板
000407,胜利股份,SZ,深市主板
000408,藏格矿业,SZ,深市主板
000409,云鼎科技,SZ,深市主板
000410,沈阳机床,SZ,深市主板
000411,英特集团,SZ,深市主板
000415,渤海租赁,SZ,深市主板
000417,合百集团,SZ,深市主板
000419,通程控股,SZ,深市主板
000420,吉林化纤,SZ,深市主板
000421,南京公用,SZ,深市主板
000422,湖北宜化,SZ,深市主板
000423,东阿阿胶,SZ,深市主板
000425,徐工机械,SZ,深市主板
000426,兴业银锡,SZ,深市主板
000428,华天酒店,SZ,深市主板
000429,粤高速Ａ,SZ,深市主板
000430,张家界,SZ,深市主板
000498,山东路桥,SZ,深市主板
000501,武商集团,SZ,深市主板
000503,国新健康,SZ,深市主板
000504,南华生物,SZ,深市主板
000505,京粮控股,SZ,深市主板
000506,招金黄金,SZ,深市主板
000507,珠海港,SZ,深市主板
000509,华塑控股,SZ,深市主板
000510,新金路,SZ,深市主板
000513,丽珠集团,SZ,深市主板
000514,渝 开 发,SZ,深市主板
000516,国际医学,SZ,深市主板
000517,荣安地产,SZ,深市主板
000518,四环生物,SZ,深市主板
000519,中兵红箭,SZ,深市主板
000520,凤凰航运,SZ,深市主板
000521,长虹美菱,SZ,深市主板
000523,红棉股份,SZ,深市主板
000524,岭南控股,SZ,深市主板
000525,红太阳,SZ,深市主板
